name,employees,technical_density,stage,domain,engineers,location,industry,founded_year,faang_alumni,patent_holders,pattern_match,pattern_match_score,success_probability
QuantumSolutions,221,67,Series B,neuralsystems.data,148.0,Boston,Healthcare,2022.0,7.0,7.0,Facebook Social,71.0,46.6
MetaTechnologies,65,52,Series A,techworks.io,33.0,Austin,E-commerce,2020.0,6.0,0.0,Early Stripe DNA,72.0,37.6
CloudAnalytics,67,52,Seed,quantumsolutions.dev,34.0,SF Bay Area,Developer Tools,2023.0,0.0,0.0,Early Stripe DNA,85.0,48.6
QuantumTechnologies,2436,51,Series C,aiventures.io,1242.0,NYC,Developer Tools,2015.0,12.0,0.0,Airbnb Balanced,94.0,44.800000000000004
AIAnalytics,99,34,Series A,ailabs.cloud,33.0,LA,Healthcare,2015.0,5.0,0.0,Early Stripe DNA,66.0,35.2
NeuralWorks,77,28,Seed,cloudworks.cloud,21.0,SF Bay Area,E-commerce,2018.0,6.0,0.0,Early Stripe DNA,95.0,30.400000000000002
DataVentures,86,64,Seed,deepdynamics.tech,55.0,NYC,E-commerce,2020.0,3.0,2.0,Facebook Social,69.0,61.2
QuantumWorks,50,25,Seed,datasolutions.cloud,12.0,Seattle,Fintech,2020.0,0.0,0.0,Uber Ops-Heavy,76.0,19.0
NeuralLabs,79,64,Series A,neuralanalytics.data,50.0,SF Bay Area,Fintech,2019.0,1.0,0.0,Deep Tech R&D,82.0,45.2
NextSolutions,87,70,Seed,smarttechnologies.tech,60.0,SF Bay Area,B2B SaaS,2021.0,4.0,0.0,Early Stripe DNA,75.0,50.0
MetaLabs,479,60,Series B,dataworks.data,287.0,NYC,Healthcare,2015.0,26.0,0.0,Airbnb Balanced,83.0,55.0
NextLabs,26,44,Seed,nextsolutions.data,11.0,NYC,E-commerce,2016.0,1.0,0.0,Enterprise B2B,93.0,38.2
MetaLabs,221,36,Series A,clouddynamics.dev,79.0,Austin,Security,2018.0,8.0,0.0,Uber Ops-Heavy,90.0,21.8
AITechnologies,14,39,Series A,nextanalytics.dev,5.0,NYC,Fintech,2015.0,0.0,0.0,Facebook Social,75.0,29.200000000000003
NeuralVentures,2786,66,Series D,neuraldynamics.io,1838.0,SF Bay Area,AI/ML,2017.0,18.0,8.0,Early Stripe DNA,68.0,61.800000000000004
NeuralWorks,50,63,Series A,metasolutions.tech,31.0,SF Bay Area,E-commerce,2021.0,0.0,2.0,Enterprise B2B,86.0,46.400000000000006
NextWorks,18,64,Series A,smartanalytics.data,11.0,Austin,AI/ML,2021.0,1.0,0.0,Uber Ops-Heavy,78.0,53.2
TechAnalytics,2965,60,Series D,smartsolutions.app,1779.0,Boston,Healthcare,2020.0,14.0,0.0,Facebook Social,79.0,44.0
NeuralDynamics,31,43,Seed,datasolutions.data,13.0,Seattle,Fintech,2018.0,1.0,0.0,Early Stripe DNA,66.0,31.4
MetaSolutions,493,54,Series A,metatechnologies.app,266.0,NYC,Fintech,2015.0,28.0,0.0,Early Stripe DNA,89.0,46.2
NeuralSolutions,99,28,Series A,datatechnologies.ai,27.0,Austin,E-commerce,2023.0,8.0,0.0,Enterprise B2B,75.0,26.400000000000002
QuantumSystems,358,60,Series B,quantumtechnologies.tech,214.0,NYC,Security,2019.0,24.0,0.0,Enterprise B2B,80.0,58.0
SmartSolutions,66,70,Seed,smartdynamics.tech,46.0,Boston,B2B SaaS,2017.0,1.0,1.0,Facebook Social,87.0,50.0
QuantumVentures,308,59,Series B,techsolutions.dev,181.0,Austin,Developer Tools,2015.0,27.0,0.0,Enterprise B2B,77.0,52.2
MetaVentures,55,73,Series A,neuralsolutions.app,40.0,NYC,AI/ML,2021.0,3.0,0.0,Facebook Social,75.0,60.400000000000006
TechVentures,165,59,Series C,deeplabs.io,97.0,LA,Developer Tools,2017.0,14.0,0.0,Uber Ops-Heavy,66.0,45.2
NextVentures,37,45,Series A,smartventures.tech,16.0,SF Bay Area,Developer Tools,2015.0,0.0,0.0,Airbnb Balanced,72.0,46.0
TechSolutions,93,73,Seed,ailabs.cloud,67.0,NYC,Fintech,2017.0,7.0,0.0,Enterprise B2B,95.0,54.400000000000006
DeepWorks,42,35,Series A,cloudanalytics.io,14.0,Boston,B2B SaaS,2019.0,4.0,0.0,Deep Tech R&D,94.0,30.0
AIWorks,35,62,Seed,smartworks.dev,21.0,Boston,Security,2015.0,2.0,1.0,Deep Tech R&D,76.0,41.6
QuantumWorks,53,51,Seed,metadynamics.data,27.0,Austin,E-commerce,2017.0,3.0,0.0,Uber Ops-Heavy,88.0,46.800000000000004
MetaAnalytics,375,54,Series B,nextsolutions.dev,202.0,SF Bay Area,AI/ML,2022.0,7.0,0.0,Facebook Social,83.0,52.2
QuantumSolutions,353,36,Series B,nextanalytics.tech,127.0,Seattle,Healthcare,2019.0,17.0,0.0,Early Stripe DNA,81.0,24.8
AITechnologies,62,60,Series A,quantumtechnologies.dev,37.0,SF Bay Area,B2B SaaS,2019.0,1.0,0.0,Facebook Social,87.0,45.0
NeuralDynamics,84,55,Series A,metadynamics.tech,46.0,LA,Developer Tools,2019.0,4.0,0.0,Airbnb Balanced,72.0,37.0
CloudSolutions,480,73,Series C,aitechnologies.tech,350.0,LA,Healthcare,2023.0,19.0,9.0,Early Stripe DNA,91.0,54.400000000000006
TechSystems,56,44,Seed,smartlabs.io,24.0,Boston,AI/ML,2017.0,5.0,0.0,Facebook Social,68.0,25.200000000000003
NextSystems,70,53,Series A,techanalytics.dev,37.0,Austin,B2B SaaS,2016.0,6.0,0.0,Facebook Social,67.0,50.400000000000006
DataSolutions,176,44,Series C,dataventures.cloud,77.0,Boston,Security,2018.0,16.0,0.0,Facebook Social,79.0,39.2
DeepLabs,85,44,Series A,deepworks.dev,37.0,NYC,E-commerce,2018.0,4.0,0.0,Deep Tech R&D,67.0,30.200000000000003
TechVentures,80,35,Seed,quantumtechnologies.tech,28.0,SF Bay Area,Fintech,2019.0,4.0,0.0,Deep Tech R&D,92.0,32.0
DeepSolutions,39,75,Series A,metaworks.cloud,29.0,NYC,E-commerce,2017.0,2.0,0.0,Early Stripe DNA,66.0,55.0
DataTechnologies,391,53,Series B,smartventures.tech,207.0,Boston,Healthcare,2022.0,14.0,0.0,Early Stripe DNA,84.0,33.400000000000006
DataSolutions,409,26,Series B,deeplabs.dev,106.0,LA,Security,2019.0,18.0,0.0,Early Stripe DNA,89.0,15.8
CloudVentures,93,42,Series A,quantumworks.app,39.0,Seattle,Developer Tools,2020.0,5.0,0.0,Deep Tech R&D,68.0,28.6
MetaLabs,98,43,Series A,quantumworks.tech,42.0,Seattle,AI/ML,2016.0,6.0,0.0,Enterprise B2B,91.0,24.4
NeuralDynamics,311,37,Series A,deeptechnologies.data,115.0,Austin,Security,2015.0,6.0,0.0,Airbnb Balanced,82.0,23.6
TechSolutions,457,32,Series B,cloudanalytics.cloud,146.0,SF Bay Area,Healthcare,2021.0,2.0,0.0,Uber Ops-Heavy,91.0,18.6
SmartAnalytics,25,56,Seed,metatechnologies.app,14.0,NYC,Developer Tools,2023.0,0.0,0.0,Facebook Social,71.0,53.800000000000004
MetaDynamics,27,42,Seed,neuralanalytics.dev,11.0,SF Bay Area,AI/ML,2019.0,2.0,0.0,Enterprise B2B,86.0,38.6
NeuralVentures,347,46,Series B,quantumdynamics.dev,159.0,NYC,E-commerce,2018.0,18.0,0.0,Facebook Social,72.0,39.800000000000004
CloudTechnologies,70,49,Series A,techsystems.cloud,34.0,Boston,AI/ML,2016.0,7.0,0.0,Early Stripe DNA,81.0,43.2
CloudWorks,28,66,Series A,quantumanalytics.tech,18.0,Boston,E-commerce,2021.0,2.0,0.0,Airbnb Balanced,92.0,59.800000000000004
TechWorks,50,59,Series A,aianalytics.ai,29.0,LA,B2B SaaS,2021.0,0.0,0.0,Deep Tech R&D,87.0,40.2
TechDynamics,98,26,Series A,techanalytics.tech,25.0,Seattle,Developer Tools,2017.0,3.0,0.0,Enterprise B2B,78.0,28.8
MetaSolutions,189,64,Series A,quantumsystems.ai,120.0,Austin,E-commerce,2019.0,14.0,4.0,Deep Tech R&D,65.0,55.2
NextAnalytics,180,53,Series A,metaanalytics.app,95.0,Seattle,Fintech,2021.0,15.0,0.0,Early Stripe DNA,72.0,44.400000000000006
SmartLabs,83,69,Series A,metaanalytics.io,57.0,Boston,Security,2015.0,7.0,2.0,Uber Ops-Heavy,84.0,56.2
CloudWorks,34,68,Series A,techanalytics.dev,23.0,Austin,B2B SaaS,2020.0,1.0,0.0,Airbnb Balanced,75.0,57.400000000000006
NeuralAnalytics,26,58,Series A,cloudanalytics.dev,15.0,Austin,Security,2019.0,2.0,0.0,Airbnb Balanced,90.0,39.400000000000006
AIVentures,19,73,Seed,neuraldynamics.io,13.0,Austin,B2B SaaS,2019.0,0.0,0.0,Airbnb Balanced,86.0,56.400000000000006
AITechnologies,91,31,Series A,techdynamics.cloud,28.0,NYC,E-commerce,2016.0,7.0,0.0,Deep Tech R&D,74.0,34.8
SmartTechnologies,27,27,Seed,dataworks.ai,7.0,Boston,Fintech,2021.0,1.0,0.0,Airbnb Balanced,86.0,28.6
DataTechnologies,29,66,Series A,deepventures.tech,19.0,SF Bay Area,E-commerce,2020.0,0.0,1.0,Facebook Social,95.0,49.800000000000004
NextLabs,451,59,Series B,metaanalytics.ai,266.0,SF Bay Area,Security,2022.0,2.0,0.0,Deep Tech R&D,71.0,57.2
CloudSolutions,914,40,Series D,datasolutions.cloud,365.0,NYC,Security,2018.0,10.0,0.0,Uber Ops-Heavy,90.0,41.0
SmartSystems,28,59,Seed,datalabs.ai,16.0,SF Bay Area,AI/ML,2018.0,2.0,0.0,Airbnb Balanced,65.0,42.2
DataWorks,26,58,Series A,quantumtechnologies.dev,15.0,Seattle,Healthcare,2016.0,1.0,0.0,Enterprise B2B,72.0,55.400000000000006
TechLabs,94,54,Series A,quantumventures.app,50.0,LA,B2B SaaS,2022.0,7.0,0.0,Early Stripe DNA,93.0,35.2
SmartDynamics,28,33,Seed,metaanalytics.app,9.0,Boston,Healthcare,2021.0,0.0,0.0,Deep Tech R&D,68.0,36.400000000000006
QuantumSolutions,469,52,Series A,metadynamics.dev,243.0,Austin,Developer Tools,2021.0,23.0,0.0,Early Stripe DNA,75.0,44.6
QuantumWorks,42,34,Series A,dataworks.io,14.0,Austin,B2B SaaS,2020.0,1.0,0.0,Enterprise B2B,66.0,35.2
NextVentures,443,51,Series A,techanalytics.cloud,225.0,Seattle,AI/ML,2016.0,18.0,0.0,Enterprise B2B,71.0,34.800000000000004
NextWorks,155,60,Series B,smartsolutions.dev,93.0,Austin,Security,2023.0,0.0,0.0,Enterprise B2B,94.0,46.0
NextLabs,44,46,Series A,cloudsystems.cloud,20.0,LA,Developer Tools,2016.0,1.0,0.0,Deep Tech R&D,85.0,26.800000000000004
MetaTechnologies,77,49,Seed,nextsystems.tech,37.0,Seattle,E-commerce,2020.0,1.0,0.0,Early Stripe DNA,69.0,34.2
MetaTechnologies,141,53,Series B,deeptechnologies.app,74.0,Seattle,Fintech,2023.0,1.0,0.0,Airbnb Balanced,78.0,35.400000000000006
SmartLabs,96,58,Series A,aiventures.cloud,55.0,SF Bay Area,B2B SaaS,2018.0,4.0,0.0,Uber Ops-Heavy,89.0,40.400000000000006
MetaSystems,161,56,Series A,cloudventures.cloud,90.0,LA,Fintech,2023.0,11.0,0.0,Early Stripe DNA,77.0,35.800000000000004
DeepVentures,68,45,Seed,deepventures.data,30.0,LA,Developer Tools,2019.0,0.0,0.0,Facebook Social,65.0,36.0
NextWorks,89,69,Series A,metaworks.ai,61.0,Austin,Healthcare,2021.0,8.0,0.0,Facebook Social,92.0,54.2
NeuralWorks,498,29,Series A,neuralsolutions.dev,144.0,Seattle,AI/ML,2017.0,7.0,0.0,Early Stripe DNA,69.0,21.200000000000003
DataSystems,87,73,Seed,quantumtechnologies.dev,63.0,Boston,Security,2022.0,5.0,2.0,Uber Ops-Heavy,79.0,50.400000000000006
SmartLabs,90,75,Series A,nextworks.tech,67.0,Austin,Developer Tools,2015.0,0.0,2.0,Airbnb Balanced,67.0,70.0
DeepLabs,4653,54,Series D,quantumsolutions.tech,2512.0,Boston,Developer Tools,2023.0,4.0,0.0,Early Stripe DNA,79.0,36.2
CloudLabs,465,57,Series A,aitechnologies.app,265.0,Boston,Healthcare,2017.0,11.0,0.0,Airbnb Balanced,94.0,44.6
NextWorks,53,75,Seed,nextworks.cloud,39.0,LA,Developer Tools,2019.0,2.0,2.0,Deep Tech R&D,95.0,69.0
NextAnalytics,398,34,Series C,metasystems.cloud,135.0,LA,B2B SaaS,2019.0,17.0,0.0,Facebook Social,85.0,27.200000000000003
DataVentures,478,58,Series C,neuraldynamics.io,277.0,Seattle,AI/ML,2017.0,30.0,0.0,Uber Ops-Heavy,75.0,51.400000000000006
SmartWorks,27,29,Seed,neurallabs.data,7.0,Seattle,Security,2017.0,2.0,0.0,Facebook Social,69.0,18.200000000000003
QuantumLabs,98,71,Seed,metadynamics.data,69.0,LA,Fintech,2022.0,9.0,2.0,Deep Tech R&D,90.0,60.800000000000004
QuantumSolutions,40,75,Series A,nexttechnologies.app,30.0,Seattle,Security,2021.0,4.0,2.0,Facebook Social,95.0,55.0
QuantumDynamics,170,28,Series B,neuralworks.data,47.0,Boston,Security,2016.0,9.0,0.0,Early Stripe DNA,89.0,17.400000000000002
DataSolutions,75,52,Seed,quantumdynamics.io,39.0,Austin,B2B SaaS,2021.0,5.0,0.0,Uber Ops-Heavy,77.0,33.6
NextSystems,13,31,Series A,cloudlabs.tech,4.0,Austin,E-commerce,2017.0,1.0,0.0,Facebook Social,84.0,14.8
DeepVentures,210,60,Series A,dataanalytics.ai,126.0,Seattle,B2B SaaS,2015.0,7.0,0.0,Facebook Social,85.0,57.0
NeuralLabs,24,63,Series A,neuralsolutions.data,15.0,NYC,AI/ML,2021.0,0.0,1.0,Uber Ops-Heavy,83.0,53.400000000000006
NextWorks,95,58,Seed,neurallabs.app,55.0,Austin,B2B SaaS,2021.0,5.0,0.0,Airbnb Balanced,88.0,36.400000000000006
DataDynamics,18,40,Series A,cloudlabs.tech,7.0,Boston,AI/ML,2017.0,1.0,0.0,Deep Tech R&D,80.0,42.0
QuantumLabs,27,70,Seed,smartsolutions.io,18.0,NYC,B2B SaaS,2020.0,1.0,1.0,Enterprise B2B,80.0,54.0
NextLabs,92,43,Seed,nextanalytics.io,39.0,Seattle,Developer Tools,2021.0,7.0,0.0,Facebook Social,75.0,29.4
SmartWorks,73,58,Series A,metaworks.app,42.0,Boston,Security,2017.0,4.0,0.0,Airbnb Balanced,68.0,38.400000000000006
DeepVentures,47,53,Series A,cloudtechnologies.tech,24.0,Austin,B2B SaaS,2020.0,4.0,0.0,Facebook Social,73.0,52.400000000000006
MetaDynamics,1114,75,Late Stage,neuralsystems.io,835.0,NYC,Security,2022.0,1.0,4.0,Early Stripe DNA,72.0,70.0
CloudTechnologies,59,63,Seed,nextdynamics.app,37.0,SF Bay Area,Healthcare,2017.0,4.0,1.0,Facebook Social,75.0,60.400000000000006
CloudTechnologies,24,72,Seed,neuralventures.cloud,17.0,SF Bay Area,AI/ML,2019.0,2.0,1.0,Uber Ops-Heavy,84.0,56.6
DataTechnologies,2139,33,Series C,cloudtechnologies.io,705.0,LA,Security,2020.0,21.0,0.0,Airbnb Balanced,87.0,18.400000000000002
CloudDynamics,47,35,Series A,neuralsolutions.io,16.0,NYC,Security,2017.0,1.0,0.0,Facebook Social,65.0,29.0
CloudWorks,57,60,Series A,dataanalytics.app,34.0,LA,E-commerce,2022.0,4.0,0.0,Facebook Social,89.0,51.0
QuantumTechnologies,262,29,Series C,neuraldynamics.ai,75.0,Boston,E-commerce,2017.0,24.0,0.0,Uber Ops-Heavy,78.0,29.200000000000003
SmartSystems,163,34,Series C,clouddynamics.data,55.0,NYC,AI/ML,2023.0,9.0,0.0,Early Stripe DNA,73.0,23.200000000000003
DeepWorks,164,44,Series C,neuralsystems.cloud,72.0,Boston,Fintech,2017.0,10.0,0.0,Enterprise B2B,66.0,25.200000000000003
AIVentures,92,66,Series A,deeplabs.app,60.0,LA,Healthcare,2019.0,4.0,3.0,Uber Ops-Heavy,90.0,54.800000000000004
QuantumVentures,19,35,Seed,quantumtechnologies.ai,6.0,Seattle,Healthcare,2017.0,1.0,0.0,Deep Tech R&D,75.0,29.0
DataDynamics,289,60,Series C,aitechnologies.io,173.0,Seattle,Developer Tools,2018.0,4.0,0.0,Early Stripe DNA,66.0,47.0
NextDynamics,3925,35,Series C,aisystems.app,1373.0,Boston,Developer Tools,2022.0,28.0,0.0,Airbnb Balanced,80.0,18.0
AIDynamics,60,40,Series A,techlabs.tech,24.0,Austin,Healthcare,2022.0,2.0,0.0,Enterprise B2B,65.0,25.0
MetaDynamics,43,73,Series A,techventures.io,31.0,Boston,Healthcare,2018.0,2.0,2.0,Airbnb Balanced,67.0,60.400000000000006
DeepWorks,80,64,Series A,cloudworks.app,51.0,Seattle,Security,2020.0,8.0,2.0,Uber Ops-Heavy,71.0,60.2
TechSystems,74,27,Seed,nexttechnologies.cloud,19.0,Austin,Fintech,2023.0,2.0,0.0,Airbnb Balanced,94.0,30.6
NextTechnologies,60,62,Series A,deepanalytics.app,37.0,SF Bay Area,AI/ML,2020.0,5.0,0.0,Facebook Social,83.0,48.6
DeepTechnologies,452,26,Series C,smartsolutions.data,117.0,SF Bay Area,Healthcare,2022.0,5.0,0.0,Enterprise B2B,85.0,29.8
DeepWorks,448,27,Series A,ailabs.app,120.0,Seattle,Developer Tools,2017.0,13.0,0.0,Deep Tech R&D,71.0,24.6
TechSystems,88,72,Series A,neuralsolutions.cloud,63.0,Seattle,E-commerce,2022.0,8.0,3.0,Airbnb Balanced,95.0,52.6
NextAnalytics,78,59,Series A,deeptechnologies.ai,46.0,NYC,AI/ML,2023.0,4.0,0.0,Uber Ops-Heavy,95.0,46.2
NextTechnologies,453,56,Series C,nextanalytics.tech,253.0,SF Bay Area,Healthcare,2023.0,12.0,0.0,Facebook Social,91.0,45.800000000000004
DataDynamics,248,43,Series A,quantumanalytics.data,106.0,Austin,Fintech,2018.0,17.0,0.0,Airbnb Balanced,94.0,41.4
AISolutions,415,62,Series C,techsolutions.data,257.0,NYC,B2B SaaS,2016.0,13.0,10.0,Deep Tech R&D,80.0,42.6
QuantumTechnologies,381,51,Series A,aianalytics.tech,194.0,Seattle,E-commerce,2015.0,29.0,0.0,Early Stripe DNA,85.0,48.800000000000004
CloudLabs,14,51,Seed,metatechnologies.ai,7.0,LA,Security,2019.0,0.0,0.0,Early Stripe DNA,74.0,48.800000000000004
NeuralTechnologies,3244,54,Series D,cloudtechnologies.tech,1751.0,NYC,Security,2016.0,10.0,0.0,Uber Ops-Heavy,88.0,47.2
SmartSolutions,107,46,Series C,cloudventures.dev,49.0,Austin,Healthcare,2020.0,1.0,0.0,Facebook Social,86.0,29.800000000000004
AILabs,27,45,Series A,smartventures.ai,12.0,Austin,Security,2019.0,1.0,0.0,Airbnb Balanced,83.0,44.0
AILabs,93,69,Series A,datatechnologies.tech,64.0,NYC,Developer Tools,2023.0,4.0,0.0,Deep Tech R&D,94.0,54.2
QuantumSystems,38,33,Seed,quantumdynamics.app,12.0,LA,Healthcare,2022.0,1.0,0.0,Uber Ops-Heavy,86.0,35.400000000000006
NextWorks,328,70,Series C,deepworks.io,229.0,Boston,Healthcare,2018.0,18.0,4.0,Uber Ops-Heavy,75.0,62.0
DeepTechnologies,97,70,Seed,datatechnologies.dev,67.0,SF Bay Area,Developer Tools,2017.0,8.0,3.0,Facebook Social,83.0,47.0
TechVentures,96,71,Series A,smartlabs.data,68.0,NYC,Healthcare,2016.0,0.0,3.0,Airbnb Balanced,87.0,48.800000000000004
TechAnalytics,17,55,Seed,metasystems.dev,9.0,NYC,Security,2021.0,1.0,0.0,Facebook Social,79.0,46.0
NextWorks,97,66,Seed,cloudventures.cloud,64.0,NYC,E-commerce,2018.0,0.0,0.0,Airbnb Balanced,79.0,59.800000000000004
QuantumDynamics,58,40,Seed,cloudanalytics.ai,23.0,LA,Security,2016.0,0.0,0.0,Deep Tech R&D,78.0,41.0
DataWorks,628,38,Series C,deeplabs.app,238.0,Boston,E-commerce,2015.0,7.0,0.0,Deep Tech R&D,66.0,32.400000000000006
TechSystems,79,73,Seed,neuralanalytics.ai,57.0,LA,Healthcare,2020.0,5.0,1.0,Airbnb Balanced,93.0,52.400000000000006
TechSystems,311,42,Series B,metatechnologies.io,130.0,Seattle,E-commerce,2021.0,25.0,0.0,Enterprise B2B,75.0,36.6
NeuralTechnologies,48,36,Series A,aisolutions.tech,17.0,LA,Fintech,2022.0,0.0,0.0,Enterprise B2B,78.0,31.8
SmartSolutions,27,40,Series A,nextworks.app,10.0,Seattle,B2B SaaS,2023.0,2.0,0.0,Uber Ops-Heavy,66.0,30.0
AISolutions,87,29,Seed,quantumsolutions.dev,25.0,Seattle,AI/ML,2015.0,3.0,0.0,Uber Ops-Heavy,95.0,16.200000000000003
AIVentures,224,63,Series C,aidynamics.dev,141.0,Seattle,Developer Tools,2022.0,17.0,10.0,Airbnb Balanced,74.0,48.400000000000006
QuantumDynamics,73,31,Series A,aidynamics.tech,22.0,Austin,B2B SaaS,2018.0,2.0,0.0,Early Stripe DNA,73.0,31.8
AIDynamics,313,34,Series B,aiventures.cloud,106.0,NYC,Developer Tools,2023.0,20.0,0.0,Deep Tech R&D,75.0,25.200000000000003
QuantumTechnologies,470,72,Series C,clouddynamics.ai,338.0,NYC,E-commerce,2023.0,15.0,5.0,Enterprise B2B,85.0,48.6
TechVentures,19,73,Seed,cloudsolutions.io,13.0,LA,Fintech,2015.0,0.0,0.0,Airbnb Balanced,66.0,67.4
TechLabs,4458,70,Late Stage,neuralventures.io,3120.0,SF Bay Area,Healthcare,2019.0,17.0,9.0,Early Stripe DNA,81.0,59.0
CloudSolutions,1376,58,Series C,aianalytics.dev,798.0,Seattle,AI/ML,2021.0,2.0,0.0,Airbnb Balanced,95.0,48.400000000000006
DataLabs,41,44,Seed,dataventures.app,18.0,Austin,Healthcare,2022.0,0.0,0.0,Deep Tech R&D,65.0,30.200000000000003
DataLabs,65,61,Series A,aisolutions.dev,39.0,LA,Healthcare,2022.0,2.0,0.0,Early Stripe DNA,86.0,46.800000000000004
TechSolutions,116,45,Series A,deepsystems.dev,52.0,LA,Security,2021.0,1.0,0.0,Airbnb Balanced,70.0,44.0
CloudWorks,59,49,Series A,neuraldynamics.io,28.0,SF Bay Area,Developer Tools,2018.0,0.0,0.0,Airbnb Balanced,84.0,48.2
SmartTechnologies,496,26,Series B,quantumsolutions.tech,128.0,Boston,Developer Tools,2021.0,5.0,0.0,Deep Tech R&D,83.0,22.8
DataWorks,89,40,Series A,smartsystems.app,35.0,LA,Security,2017.0,6.0,0.0,Airbnb Balanced,76.0,25.0
SmartWorks,49,48,Series A,cloudworks.ai,23.0,Austin,Developer Tools,2023.0,4.0,0.0,Enterprise B2B,78.0,31.400000000000006
DeepDynamics,55,63,Seed,metalabs.tech,34.0,Austin,Developer Tools,2016.0,5.0,2.0,Uber Ops-Heavy,83.0,56.400000000000006
SmartAnalytics,58,33,Seed,smarttechnologies.ai,19.0,SF Bay Area,Fintech,2021.0,2.0,0.0,Facebook Social,74.0,31.400000000000002
QuantumSolutions,226,65,Series C,quantumworks.ai,146.0,Seattle,B2B SaaS,2021.0,10.0,9.0,Facebook Social,90.0,52.0
NextSolutions,65,44,Seed,quantumdynamics.ai,28.0,Austin,AI/ML,2019.0,5.0,0.0,Deep Tech R&D,85.0,40.2
MetaDynamics,266,42,Series B,datasolutions.cloud,111.0,Boston,Fintech,2023.0,0.0,0.0,Deep Tech R&D,79.0,29.6
MetaTechnologies,47,75,Seed,cloudanalytics.ai,35.0,Seattle,E-commerce,2017.0,3.0,1.0,Early Stripe DNA,79.0,69.0
TechDynamics,61,59,Series A,neuralworks.io,35.0,NYC,E-commerce,2020.0,1.0,0.0,Deep Tech R&D,84.0,38.2
NextVentures,92,73,Series A,datalabs.io,67.0,Seattle,Fintech,2023.0,8.0,4.0,Enterprise B2B,87.0,66.4
DeepSystems,57,54,Series A,nextlabs.app,30.0,SF Bay Area,AI/ML,2021.0,0.0,0.0,Early Stripe DNA,91.0,37.2
AITechnologies,53,75,Series A,nexttechnologies.io,39.0,Austin,E-commerce,2022.0,2.0,0.0,Airbnb Balanced,66.0,53.0
CloudSolutions,53,68,Seed,neuralsystems.cloud,36.0,NYC,AI/ML,2023.0,3.0,1.0,Uber Ops-Heavy,90.0,56.400000000000006
TechSolutions,436,50,Series B,quantumventures.app,218.0,SF Bay Area,E-commerce,2018.0,6.0,0.0,Airbnb Balanced,89.0,32.0
NextSolutions,78,48,Seed,quantumworks.tech,37.0,LA,Security,2022.0,5.0,0.0,Enterprise B2B,77.0,47.400000000000006
QuantumSystems,24,47,Series A,smartworks.data,11.0,NYC,AI/ML,2016.0,0.0,0.0,Airbnb Balanced,68.0,32.6
DeepSystems,28,51,Series A,deepventures.app,14.0,NYC,Developer Tools,2023.0,2.0,0.0,Deep Tech R&D,94.0,35.800000000000004
CloudDynamics,72,33,Series A,quantumlabs.dev,23.0,Seattle,B2B SaaS,2022.0,2.0,0.0,Uber Ops-Heavy,91.0,28.400000000000002
QuantumVentures,353,68,Series B,quantumtechnologies.ai,240.0,SF Bay Area,Healthcare,2015.0,25.0,7.0,Airbnb Balanced,66.0,52.400000000000006
QuantumTechnologies,46,74,Seed,neuralworks.cloud,34.0,SF Bay Area,AI/ML,2023.0,2.0,2.0,Early Stripe DNA,89.0,63.2
